Date,Time UTC+1,Model,Asset,Forecast,Last Input Price,AR Alpha,Rolling Hit-Rate,SD,MAD,ACD
"2016-07-06","00:58:24","ARMA","NZD/USD","UP","0.7201","n.a.","56.7","0.0043","0.0033","7e-04"
"2016-07-06","00:58:26","ARMA","EUR/SEK","DOWN","9.3984","n.a.","57.2","0.0243","0.0182","-0.0014"
"2016-07-06","00:58:28","ARMA","EUR/NOK","DOWN","9.2667","n.a.","53.4","0.0375","0.0279","-0.0098"
"2016-07-06","00:58:30","ARMA","USD/SEK","UP","8.4389","n.a.","63","0.0401","0.0284","0.001"
"2016-07-06","00:58:31","ARMA","USD/NOK","DOWN","8.3206","n.a.","60.6","0.0441","0.0322","-0.0057"
"2016-07-06","00:58:33","ARMA","EUR/JPY","UP","114.28","n.a.","60.6","0.6279","0.4365","0.0227"
"2016-07-06","00:58:35","ARMA","XAU/USD","UP","1348.75","n.a.","58.7","8.5705","6.468","1.8278"
"2016-07-06","00:58:37","ARMA","XAG/USD","UP","20.2747","n.a.","55.3","0.1674","0.1229","0.182"
"2016-07-06","00:58:38","ARMA","XPD/USD","UP","613.605","n.a.","55.3","10.8121","5.5553","0.3591"
"2016-07-06","00:58:40","ARMA","XPT/USD","UP","1063.08","n.a.","55.3","12.624","7.3045","0.2527"
"2016-07-06","02:30:08","AR","EUR/USD","DOWN","1.1137","0.34","64.1","0.0049","0.0036","-2e-04"
"2016-07-06","02:30:18","AR","USD/JPY","UP","102.61","0.37","59.1","0.5536","0.3985","0.0284"
"2016-07-06","02:30:26","AR","GBP/USD","UP","1.3284","0.23","59.8","0.0083","0.005","0.0019"
"2016-07-06","02:30:35","AR","USD/CHF","DOWN","0.973","0.46","63","0.004","0.0029","-1e-04"
"2016-07-06","02:30:40","AR","AUD/USD","UP","0.7511","0.21","52.4","0.004","0.0031","2e-04"
"2016-07-06","02:30:48","AR","USD/CAD","DOWN","1.2877","0.28","56.7","0.006","0.0043","-0.0011"
"2016-07-06","02:30:53","AR","EUR/CHF","DOWN","1.0837","0.21","51.9","0.0024","0.0018","-1e-04"
"2016-07-06","02:30:58","AR","EUR/GBP","DOWN","0.8384","0.34","56.2","0.004","0.0027","-9e-04"
"2016-07-06","02:31:04","AR","NZD/USD","UP","0.7201","0.18","54.8","0.0043","0.0033","3e-04"
"2016-07-06","02:31:09","AR","EUR/SEK","DOWN","9.3984","0.37","57.7","0.0243","0.0182","-8e-04"
"2016-07-06","02:31:15","AR","EUR/NOK","UP","9.2667","0.32","53.6","0.0374","0.0278","0.0035"
"2016-07-06","02:31:20","AR","USD/SEK","UP","8.4389","0.26","56.5","0.0401","0.0283","0.0022"
"2016-07-06","02:31:28","AR","USD/NOK","UP","8.3206","0.26","59.8","0.0441","0.0321","8e-04"
"2016-07-06","02:31:33","AR","EUR/JPY","UP","114.28","0.28","62","0.6279","0.4365","7e-04"
"2016-07-06","02:31:38","AR","XAU/USD","DOWN","1348.75","0.28","58.4","8.5566","6.447","-0.2539"
"2016-07-06","02:31:42","AR","XAG/USD","UP","20.2747","0.41","57.4","0.1671","0.1225","6e-04"
"2016-07-06","02:31:47","AR","XPD/USD","UP","613.605","0.05","46.4","10.7945","5.5372","0.3596"
"2016-07-06","02:31:54","AR","XPT/USD","UP","1063.08","0.05","40.7","12.6034","7.2808","1.5907"
"2016-07-06","02:31:58","MA","EUR/USD","UP","1.1137","n.a.","67","0.0049","0.0036","1e-04"
"2016-07-06","02:32:01","MA","USD/JPY","UP","102.61","n.a.","63.5","0.5536","0.3985","0.0517"
"2016-07-06","02:32:04","MA","GBP/USD","DOWN","1.3284","n.a.","63.2","0.0083","0.005","-1e-04"
"2016-07-06","02:32:07","MA","USD/CHF","UP","0.973","n.a.","64.4","0.004","0.0029","0"
"2016-07-06","02:32:10","MA","AUD/USD","UP","0.7511","n.a.","53.4","0.004","0.0031","2e-04"
"2016-07-06","02:32:13","MA","USD/CAD","DOWN","1.2877","n.a.","58.7","0.006","0.0043","-8e-04"
"2016-07-06","02:32:18","MA","EUR/CHF","DOWN","1.0837","n.a.","57.2","0.0024","0.0018","-2e-04"
"2016-07-06","02:32:21","MA","EUR/GBP","DOWN","0.8384","n.a.","56.7","0.004","0.0027","-4e-04"
"2016-07-06","02:32:24","MA","NZD/USD","UP","0.7201","n.a.","56.7","0.0043","0.0033","6e-04"
"2016-07-06","02:32:27","MA","EUR/SEK","DOWN","9.3984","n.a.","56.7","0.0243","0.0182","-7e-04"
"2016-07-06","02:32:32","MA","EUR/NOK","UP","9.2667","n.a.","53.1","0.0374","0.0278","0.0032"
"2016-07-06","02:32:37","MA","USD/SEK","DOWN","8.4389","n.a.","63.6","0.0401","0.0283","-3e-04"
"2016-07-06","02:32:42","MA","USD/NOK","UP","8.3206","n.a.","59.8","0.0441","0.0321","0.0013"
"2016-07-06","02:32:45","MA","EUR/JPY","UP","114.28","n.a.","62.5","0.6279","0.4365","0.0199"
"2016-07-06","02:32:48","MA","XAU/USD","DOWN","1348.75","n.a.","60.3","8.5566","6.447","-0.4548"
"2016-07-06","02:32:52","MA","XAG/USD","DOWN","20.2747","n.a.","58.4","0.1671","0.1225","-0.0542"
"2016-07-06","02:32:55","MA","XPD/USD","DOWN","613.605","n.a.","43.5","10.7945","5.5372","-0.0206"
"2016-07-06","02:33:00","MA","XPT/USD","DOWN","1063.08","n.a.","39.7","12.6034","7.2808","-0.0048"
"2016-07-06","02:33:04","ARMA","EUR/USD","UP","1.1137","n.a.","64.6","0.0049","0.0036","0"
"2016-07-06","02:33:08","ARMA","USD/JPY","UP","102.61","n.a.","60.1","0.5536","0.3985","0.0482"
"2016-07-06","02:33:11","ARMA","GBP/USD","UP","1.3284","n.a.","59.8","0.0083","0.005","0"
"2016-07-06","02:33:15","ARMA","USD/CHF","UP","0.973","n.a.","63.5","0.004","0.0029","0"
"2016-07-06","02:33:22","ARMA","AUD/USD","UP","0.7511","n.a.","51.9","0.004","0.0031","2e-04"
"2016-07-06","02:33:24","ARMA","USD/CAD","DOWN","1.2877","n.a.","51.9","0.006","0.0043","-8e-04"
"2016-07-06","02:33:28","ARMA","EUR/CHF","DOWN","1.0837","n.a.","54.8","0.0024","0.0018","-1e-04"
"2016-07-06","02:33:32","ARMA","EUR/GBP","DOWN","0.8384","n.a.","56.7","0.004","0.0027","-3e-04"
"2016-07-06","02:33:34","ARMA","NZD/USD","UP","0.7201","n.a.","56.7","0.0043","0.0033","7e-04"
"2016-07-06","02:33:38","ARMA","EUR/SEK","DOWN","9.3984","n.a.","57.2","0.0243","0.0182","-0.0014"
"2016-07-06","02:33:45","ARMA","EUR/NOK","UP","9.2667","n.a.","53.1","0.0374","0.0278","0.0033"
"2016-07-06","02:33:48","ARMA","USD/SEK","DOWN","8.4389","n.a.","62.7","0.0401","0.0283","-1e-04"
"2016-07-06","02:33:52","ARMA","USD/NOK","UP","8.3206","n.a.","60.3","0.0441","0.0321","9e-04"
"2016-07-06","02:33:55","ARMA","EUR/JPY","UP","114.28","n.a.","60.3","0.6279","0.4365","0.0227"
"2016-07-06","02:33:59","ARMA","XAU/USD","DOWN","1348.75","n.a.","58.4","8.5566","6.447","-0.2876"
"2016-07-06","02:34:02","ARMA","XAG/USD","DOWN","20.2747","n.a.","55","0.1671","0.1225","-0.0263"
"2016-07-06","02:34:06","ARMA","XPD/USD","DOWN","613.605","n.a.","55","10.7945","5.5372","-0.1498"
"2016-07-06","02:34:11","ARMA","XPT/USD","DOWN","1063.08","n.a.","55","12.6034","7.2808","-0.0858"
"2016-07-06","06:52:28","AR","EUR/USD","DOWN","1.1126","0.34","64.6","0.0049","0.0036","-6e-04"
"2016-07-06","06:52:31","AR","USD/JPY","DOWN","101.92","0.37","59.3","0.5538","0.3995","-0.2543"
"2016-07-06","06:52:34","AR","GBP/USD","DOWN","1.3161","0.23","59.8","0.0084","0.005","-0.001"
"2016-07-06","06:52:36","AR","USD/CHF","DOWN","0.9726","0.46","62.7","0.004","0.0029","-2e-04"
"2016-07-06","06:52:39","AR","AUD/USD","DOWN","0.7496","0.21","52.2","0.004","0.0031","-3e-04"
"2016-07-06","06:52:41","AR","USD/CAD","UP","1.291","0.28","56.5","0.0059","0.0043","0.001"
"2016-07-06","06:52:44","AR","EUR/CHF","DOWN","1.0822","0.21","52.2","0.0024","0.0018","-3e-04"
"2016-07-06","06:52:46","AR","EUR/GBP","UP","0.8455","0.34","56","0.004","0.0027","0.0019"
"2016-07-06","06:52:49","AR","NZD/USD","DOWN","0.7189","0.18","54.5","0.0043","0.0033","-5e-04"
"2016-07-06","06:52:51","AR","EUR/SEK","UP","9.4163","0.37","57.9","0.0243","0.0182","0.0052"
"2016-07-06","06:52:54","AR","EUR/NOK","UP","9.2827","0.32","54.1","0.0374","0.0278","0.0086"
"2016-07-06","06:52:56","AR","USD/SEK","UP","8.4631","0.26","56.9","0.0401","0.0284","0.0086"
"2016-07-06","06:52:59","AR","USD/NOK","UP","8.3431","0.26","60.3","0.0441","0.0322","0.0067"
"2016-07-06","06:53:02","AR","EUR/JPY","DOWN","113.4","0.28","62.2","0.6286","0.4379","-0.2482"
"2016-07-06","06:53:04","AR","XAU/USD","DOWN","1348.56","0.28","58.9","8.5566","6.4476","-0.3081"
"2016-07-06","06:53:07","AR","XAG/USD","DOWN","19.9586","0.4","57.4","0.1682","0.1236","-0.1462"
"2016-07-06","06:53:10","AR","XPD/USD","DOWN","605.026","0.05","46.4","10.8052","5.5651","-0.1245"
